"","yearmon","nombre.Agencia","Total"
"1",2013-10-01,"Barrancabermeja",6429.216
"2",2013-11-01,"Barrancabermeja",5555.612
"3",2013-12-01,"Barrancabermeja",655.066
"4",2014-01-01,"Barrancabermeja",2860.312
"5",2014-02-01,"Barrancabermeja",1877.198
"6",2014-03-01,"Barrancabermeja",2530.276
"7",2014-04-01,"Barrancabermeja",2200.24
"8",2014-05-01,"Barrancabermeja",1845.198
"9",2014-06-01,"Barrancabermeja",2120.228
"10",2014-07-01,"Barrancabermeja",1485.162
"11",2014-08-01,"Barrancabermeja",1835.198
"12",2014-09-01,"Barrancabermeja",945.102
"13",2014-10-01,"Barrancabermeja",385.042
"14",2014-11-01,"Barrancabermeja",1110.12
"15",2014-12-01,"Barrancabermeja",280.03
"16",2015-01-01,"Barrancabermeja",230.006
"17",2015-03-01,"Barrancabermeja",165.006
"18",2011-01-01,"BOGOTA",128815.753
"19",2011-02-01,"BOGOTA",120433.414
"20",2011-03-01,"BOGOTA",172991.134
"21",2011-04-01,"BOGOTA",140562.457
"22",2011-05-01,"BOGOTA",107530.708
"23",2011-06-01,"BOGOTA",118380.487
"24",2011-07-01,"BOGOTA",128443.431
"25",2011-08-01,"BOGOTA",132631.492
"26",2011-09-01,"BOGOTA",135105.904
"27",2011-10-01,"BOGOTA",133327.853
"28",2011-11-01,"BOGOTA",175452.859
"29",2011-12-01,"BOGOTA",123075.352
"30",2012-01-01,"BOGOTA",150750.914
"31",2012-02-01,"BOGOTA",142943.414
"32",2012-03-01,"BOGOTA",131923.607
"33",2012-04-01,"BOGOTA",130568.32
"34",2012-05-01,"BOGOTA",141681.679
"35",2012-06-01,"BOGOTA",151909.433
"36",2012-07-01,"BOGOTA",149892.566
"37",2012-08-01,"BOGOTA",135432.093
"38",2012-09-01,"BOGOTA",127143.633
"39",2012-10-01,"BOGOTA",144569.655
"40",2012-11-01,"BOGOTA",135317.479
"41",2012-12-01,"BOGOTA",153004.286
"42",2013-01-01,"BOGOTA",139567.26
"43",2013-02-01,"BOGOTA",134993.029
"44",2013-03-01,"BOGOTA",146244.037
"45",2013-04-01,"BOGOTA",127050.631
"46",2013-05-01,"BOGOTA",118255.923
"47",2013-06-01,"BOGOTA",113998.484
"48",2013-07-01,"BOGOTA",117047.36
"49",2013-08-01,"BOGOTA",128238.396
"50",2013-09-01,"BOGOTA",119384.825
"51",2013-10-01,"BOGOTA",126333.186
"52",2013-11-01,"BOGOTA",105720.503
"53",2013-12-01,"BOGOTA",123289.042
"54",2014-01-01,"BOGOTA",116836.233
"55",2014-02-01,"BOGOTA",101730.045
"56",2014-03-01,"BOGOTA",113634.555
"57",2014-04-01,"BOGOTA",137331.97
"58",2014-05-01,"BOGOTA",95418.324
"59",2014-06-01,"BOGOTA",91518.842
"60",2014-07-01,"BOGOTA",108176.415
"61",2014-08-01,"BOGOTA",114711.805
"62",2014-09-01,"BOGOTA",116989.911
"63",2014-10-01,"BOGOTA",105200.575
"64",2014-11-01,"BOGOTA",91167.232
"65",2014-12-01,"BOGOTA",114353.184
"66",2015-01-01,"BOGOTA",81071.013
"67",2015-02-01,"BOGOTA",112274.223
"68",2015-03-01,"BOGOTA",83919.356
"69",2013-02-01,"BUCARAMANGA",9324.836
"70",2013-03-01,"BUCARAMANGA",30284.353
"71",2013-04-01,"BUCARAMANGA",19534.894
"72",2013-05-01,"BUCARAMANGA",28821.772
"73",2013-06-01,"BUCARAMANGA",30476.484
"74",2013-07-01,"BUCARAMANGA",34862.008
"75",2013-08-01,"BUCARAMANGA",29963.76
"76",2013-09-01,"BUCARAMANGA",29639.786
"77",2013-10-01,"BUCARAMANGA",33948.756
"78",2013-11-01,"BUCARAMANGA",25146.524
"79",2013-12-01,"BUCARAMANGA",56705.28
"80",2014-01-01,"BUCARAMANGA",23454.372
"81",2014-02-01,"BUCARAMANGA",34107.631
"82",2014-03-01,"BUCARAMANGA",30451.084
"83",2014-04-01,"BUCARAMANGA",36340.544
"84",2014-05-01,"BUCARAMANGA",25434.996
"85",2014-06-01,"BUCARAMANGA",28757.046
"86",2014-07-01,"BUCARAMANGA",30479.832
"87",2014-08-01,"BUCARAMANGA",27049.296
"88",2014-09-01,"BUCARAMANGA",63540.488
"89",2014-10-01,"BUCARAMANGA",35573.578
"90",2014-11-01,"BUCARAMANGA",29762.76
"91",2014-12-01,"BUCARAMANGA",44124.38
"92",2015-01-01,"BUCARAMANGA",31589.072
"93",2015-02-01,"BUCARAMANGA",42099.198
"94",2015-03-01,"BUCARAMANGA",26841.348
"95",2013-02-01,"CUCUTA",1099.538
"96",2013-03-01,"CUCUTA",4515.846
"97",2013-04-01,"CUCUTA",1661.796
"98",2013-05-01,"CUCUTA",3425.964
"99",2013-06-01,"CUCUTA",3436.194
"100",2013-07-01,"CUCUTA",5894.124
"101",2013-08-01,"CUCUTA",3534.554
"102",2013-09-01,"CUCUTA",4425.224
"103",2013-10-01,"CUCUTA",4946.87
"104",2013-11-01,"CUCUTA",5175.138
"105",2013-12-01,"CUCUTA",4289.15
"106",2014-01-01,"CUCUTA",3600.566
"107",2014-02-01,"CUCUTA",3534.56
"108",2014-03-01,"CUCUTA",3293.066
"109",2014-04-01,"CUCUTA",5170.258
"110",2014-05-01,"CUCUTA",2170.03
"111",2014-06-01,"CUCUTA",4771.776
"112",2014-07-01,"CUCUTA",3936.078
